epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4803.93,0.92411,0.51552,0.83708,0.58316,0.50971,0.39701,0.29692,0.93189,0.99992,0.55802,0.0008912,0.0008912,0.0008912
58,4869.8,0.91699,0.50494,0.84493,0.6013,0.53883,0.42899,0.30322,1.01237,1.02662,0.5698,0.0008714,0.0008714,0.0008714
59,4931.69,0.93281,0.51329,0.84264,0.55317,0.5,0.36563,0.25707,0.95695,0.97378,0.55998,0.0008516,0.0008516,0.0008516
60,4995.26,0.90566,0.50345,0.83889,0.59274,0.52282,0.42768,0.2971,1.01471,1.01798,0.56753,0.0008318,0.0008318,0.0008318
61,5054.09,0.91177,0.50795,0.84066,0.5469,0.51561,0.37757,0.271,0.99372,1.04017,0.56986,0.000812,0.000812,0.000812
62,5113.73,0.90921,0.50009,0.83611,0.66628,0.57039,0.52007,0.3691,1.00875,1.04104,0.56374,0.0007922,0.0007922,0.0007922
63,5177.06,0.87697,0.48905,0.83946,0.6507,0.55615,0.48772,0.3506,0.98785,1.03503,0.56457,0.0007724,0.0007724,0.0007724
64,5246.12,0.89001,0.49565,0.83665,0.63736,0.53883,0.44102,0.30575,1.01609,1.01368,0.56451,0.0007526,0.0007526,0.0007526
65,5306.25,0.9096,0.50222,0.83785,0.5542,0.49757,0.37929,0.26449,0.98346,1.00981,0.55963,0.0007328,0.0007328,0.0007328
66,5368.87,0.92817,0.50056,0.84211,0.62241,0.56796,0.47519,0.33915,0.9621,0.98178,0.55609,0.000713,0.000713,0.000713
67,5432.77,0.86388,0.47873,0.83702,0.5943,0.55097,0.44463,0.32379,0.94327,0.96798,0.56247,0.0006932,0.0006932,0.0006932
68,5499.04,0.85196,0.46671,0.83711,0.58215,0.53883,0.41225,0.28505,1.01668,0.98835,0.56326,0.0006734,0.0006734,0.0006734
69,5558.37,0.85003,0.47729,0.82449,0.60919,0.5534,0.4464,0.32237,0.9568,0.97024,0.56137,0.0006536,0.0006536,0.0006536
70,5619.89,0.86205,0.47048,0.83242,0.67367,0.59223,0.52422,0.37156,0.9924,0.9411,0.55877,0.0006338,0.0006338,0.0006338
71,5681.01,0.8492,0.46174,0.83053,0.65286,0.59223,0.52975,0.38811,0.9389,0.95581,0.55906,0.000614,0.000614,0.000614
72,5740.11,0.84591,0.46505,0.83759,0.59197,0.52427,0.40855,0.29285,0.92937,0.93955,0.55334,0.0005942,0.0005942,0.0005942
73,5798.64,0.86947,0.47038,0.83207,0.63053,0.57767,0.47215,0.34019,0.99226,1.00517,0.56182,0.0005744,0.0005744,0.0005744
74,5861.67,0.83233,0.45778,0.83534,0.66835,0.60437,0.52901,0.37843,0.96089,0.96212,0.55471,0.0005546,0.0005546,0.0005546
75,5921.39,0.84828,0.4598,0.82424,0.63166,0.57858,0.47907,0.35207,0.93205,0.9415,0.55286,0.0005348,0.0005348,0.0005348
76,5987.88,0.83303,0.45661,0.83305,0.6906,0.5851,0.5287,0.38161,0.95344,0.95348,0.55787,0.000515,0.000515,0.000515
77,6048.68,0.83231,0.45433,0.83,0.69634,0.63107,0.57123,0.41339,0.94656,0.95644,0.5545,0.0004952,0.0004952,0.0004952
78,6107.98,0.80281,0.44205,0.82118,0.63864,0.60437,0.5249,0.3785,0.93716,0.93051,0.55178,0.0004754,0.0004754,0.0004754
79,6167.62,0.82025,0.45652,0.82493,0.61654,0.58148,0.4769,0.34078,0.97805,0.98037,0.55607,0.0004556,0.0004556,0.0004556
80,6228.21,0.81859,0.43871,0.82686,0.67891,0.59531,0.51452,0.37864,0.89087,0.89606,0.5517,0.0004358,0.0004358,0.0004358
81,6290.3,0.81955,0.44437,0.82498,0.64896,0.57767,0.48897,0.36366,0.91861,0.91591,0.55498,0.000416,0.000416,0.000416
82,6352.56,0.80133,0.43384,0.82886,0.67279,0.58252,0.50448,0.36495,0.96424,0.94188,0.55142,0.0003962,0.0003962,0.0003962
83,6411.24,0.78325,0.43492,0.82261,0.64719,0.60194,0.49951,0.3693,0.92295,0.94814,0.55189,0.0003764,0.0003764,0.0003764
84,6471.29,0.78812,0.43046,0.82722,0.67208,0.64563,0.56148,0.42549,0.89236,0.88779,0.54977,0.0003566,0.0003566,0.0003566
85,6527.75,0.79159,0.42805,0.82424,0.64881,0.57282,0.50348,0.35889,0.96306,0.93561,0.55183,0.0003368,0.0003368,0.0003368
86,6587.69,0.79678,0.42913,0.82425,0.64239,0.6104,0.52216,0.38887,0.8885,0.88133,0.5505,0.000317,0.000317,0.000317
87,6647.48,0.79345,0.43506,0.82117,0.68719,0.59186,0.53259,0.39381,0.91189,0.89763,0.54863,0.0002972,0.0002972,0.0002972
88,6710.77,0.77811,0.41994,0.82695,0.67261,0.59466,0.51823,0.38979,0.88368,0.87177,0.54875,0.0002774,0.0002774,0.0002774
89,6770.47,0.77503,0.42296,0.82201,0.67253,0.58738,0.51822,0.38301,0.89258,0.86822,0.54892,0.0002576,0.0002576,0.0002576
90,6840.63,0.75816,0.41658,0.81575,0.60821,0.56519,0.46323,0.33207,0.92904,0.90031,0.55025,0.0002378,0.0002378,0.0002378
91,6921.7,0.78918,0.41952,0.81231,0.56478,0.50395,0.36132,0.26656,0.83677,0.864,0.54787,0.000218,0.000218,0.000218
92,6996.17,0.74707,0.40277,0.81613,0.57351,0.49611,0.37225,0.27974,0.79703,0.82734,0.5496,0.0001982,0.0001982,0.0001982
93,7072.35,0.7273,0.39967,0.81289,0.58276,0.52546,0.41038,0.31128,0.7917,0.82842,0.5467,0.0001784,0.0001784,0.0001784
94,7142.46,0.73296,0.3989,0.81223,0.61227,0.55193,0.45,0.3499,0.76345,0.82226,0.54745,0.0001586,0.0001586,0.0001586
95,7219.06,0.72847,0.39205,0.81865,0.58251,0.53155,0.40669,0.31149,0.77655,0.80446,0.54634,0.0001388,0.0001388,0.0001388
96,7295.91,0.72216,0.38594,0.81495,0.61981,0.55097,0.4525,0.34916,0.76852,0.7914,0.54475,0.000119,0.000119,0.000119
97,7373.84,0.7049,0.38506,0.81091,0.63862,0.56618,0.47554,0.36561,0.78284,0.7952,0.54631,9.92e-05,9.92e-05,9.92e-05
98,7448.71,0.72012,0.38493,0.81178,0.62427,0.57524,0.47808,0.37077,0.75916,0.77473,0.5442,7.94e-05,7.94e-05,7.94e-05
99,7525.97,0.68795,0.3711,0.80665,0.6219,0.55892,0.46233,0.36001,0.75921,0.77587,0.54324,5.96e-05,5.96e-05,5.96e-05
100,7607.35,0.69753,0.37387,0.8048,0.63507,0.57282,0.48508,0.37784,0.76009,0.77577,0.5436,3.98e-05,3.98e-05,3.98e-05
